Afyon Kocatepe Üniversitesi
Anglo-americká vysoká škola
Audencia Business School
BI Handelshøyskolen
Budapesti Gazdasági Egyetem (BGE)
Burgundy School of Business
California State University, Monterey Bay
Case Western Reserve University
Catholic University of Korea
Centria Ammattikorkeakoulu – Centria Yrkeshögskola
Centro Universitario Villanueva
Chuo University
Corporacion Universitaria Minuto de Dios (UNIMINUTO)
De Haagse Hogeschool
De Vinci Higher Education
Drexel University
EBS – European Business School – Paris
EPHEC - Ecole Pratique des Hautes Etudes Commerciales
ESCP Europe
Eberhard Karls Universität Tübingen
Ecole de Management de Normandie
Emlyon Business School
Erasmus Universiteit Rotterdam
Escola Superior de Comerç Internacional
Escuela de Ingenieria de Antioquia
FHNW Fachhochschule Nordwestschweiz
Fachhochschule Oberösterreich
Fachhochschule Wiener Neustadt
Florida State University
Fontys Hogescholen
Fordham University
Fundação Getulio Vargas – Escola de Administracão de Empresas de São Paulo
George Mason University
Grenoble Ecole de Management
Grenoble INP - UGA
HAKKARI UNIVERSITESI
Halic University
Handelshøjskolen i København
Hanken Svenska Handelshögskolan
Heriot-Watt University
Hochschule Bonn-Rhein-Sieg
Hochschule Osnabrück
Hochschule RheinMain
Hochschule für Wirtschaft und Recht Berlin
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen
Hong Kong Baptist University
IHECS Institut des Hautes des Communications Sociales
ISE Business School (Centro de Extensão Universitária)
Institut de Gestion Sociale Lyon
"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa"
Instituto Tecnológico de Buenos Aires
Ipag Ecole Supérieure de Commerce
Ircom École supérieure privée
Jyväskylän Yliopisto
KEDGE Business School
Kadir Has Universitesi
King Ceasor University
Koc University
Kühne Logistics University
Libera Università Internazionale degli Studi Sociali (LUISS) ‘Guido Carli’
Lincoln University
Loughborough University
Memorial University of Newfoundland
NEOMA Business School
National Changhua University of Education
Newcastle University
Northwestern University
Nyenrode Business Universiteit
Ostbayerische Technische Hochschule Regensburg
Politecnico di Milano
Pontificia Universidad Católica del Ecuador
Pontificia Universidad Javeriana
Queen's University
Radboud Universiteit Nijmegen
Reichman University
Reseau GES
Richmond American University London
Rijksuniversiteit Groningen
SP Jain School of Global Management
Saint-Petersburg State University
Sciences Po - Institut d'Etudes Politiques de Lille
Skema Business School
Sveučilište u Zagrebu
Szkoła Glowna Handlowa (SGH) w Warszawie
Technische Universiteit Eindhoven
Technische Universität Darmstadt
Technische Universität München (TUM)
The American College of Greece
The Cooper Union for the Advancement of Science and Art
The University of Hong Kong
Thomas More Mechelen-Antwerpen
Tilburg University
Universidad Austral
Universidad Austral - Intercambios especiales (Diplomas)
Universidad Autónoma de Baja California
Universidad CEU San Pablo
Universidad Católica San Antonio de Murcia
Universidad Católica San Pablo
Universidad Diego Portales
Universidad Finis Terrae
Universidad Francisco de Vitoria
Universidad Fundación UADE
Universidad Intercontinental
Universidad Miguel Hernandez de Elche
Universidad Nacional Autónoma de México
Universidad Nacional de San Juan
Universidad Panamericana
Universidad Politécnica de Madrid
Universidad Privada de Santa Cruz de la Sierra
Universidad Rey Juan Carlos
Universidad Tecnológica de Panamá
Universidad Torcuato di Tella
Universidad de Alicante
Universidad de Córdoba
Universidad de La Sabana
Universidad de Los Andes
Universidad de Malaga
Universidad de Medellin
Universidad de Navarra
Universidad de Piura
Universidad de Santiago de Compostela
Universidad de Sevilla
Universidad de Vigo
Universidad de los Hemisferios
Universidad del CEMA
Universidad del Pacífico
Universidad del País Vasco / Euskal Herriko Unibertsitatea
Universidad ‘Alfonso X El Sabio’
Universidade Católica Portuguesa
Universidade Estadual de Campinas (UNICAMP)
Universidade Federal de Santa Catarina
Universidade Nova de Lisboa
Universidade da Coruña
Universidade de Coimbra
Universidade de Santa Cruz do Sul (UNISC)
Universidade de São Paulo (USP)
Universidade do Minho
Universidade do Vale do Rio dos Sinos (UNISINOS)
Universitat Internacional de Catalunya
Universitat Politècnica de Catalunya
Universitatea 'Alexandru Ioan Cuza'
Universitatea Tehnica 'Gheorghe Asachi' din Iaşi
Universiteit Gent
Universiteit Leiden
University College Dublin
University College London
University of Antwerp Management School
University of Birmingham
University of Essex
University of Hertfordshire
University of Lethbridge
University of Melbourne
"University of Minnesota, Twin Cities"
University of Missouri - St. Louis
University of Montana-Missoula
University of North Carolina at Chapel Hill
University of North Carolina at Greensboro
University of North Florida
University of Portsmouth
University of St Andrews
University of Technology Sydney
University of Western Australia
Università Ca' Foscari Venezia
Università Cattolica del Sacro Cuore
Università degli Studi di Cagliari
Universität St. Gallen
Universität zu Köln
Université Catholique de Lille
Université du Luxembourg
Univerza v Ljubljani
Univerzita Hradec Králové
Utica College
VILNIUS TECH
VIT University - Institute of Technology
Victoria University of Wellington
Vytauto Didziojo Universitetas
Windesheim
Zürcher Hochschule für Angewandte Wissenschaften
École spéciale de mécanique et d’électricité (ESME)
