name,country,web_page,description,facultades_habilitadas
Loughborough University,Reino Unido,http://www.lboro.ac.uk/,Intercambio con Loughborough University en Reino Unido. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Newcastle University,Reino Unido,http://www.ncl.ac.uk/,Movilidad académica disponible en Newcastle University para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Richmond American University London,Reino Unido,https://www.richmond.ac.uk/,Acuerdo bilateral con Richmond American University London – Reino Unido. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University College London,Reino Unido,http://www.ucl.ac.uk/,Intercambio con University College London en Reino Unido. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Birmingham,Reino Unido,http://www.bham.ac.uk/,Acuerdo de intercambio entre la UM y University of Birmingham (Reino Unido). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Essex,Reino Unido,http://www.essex.ac.uk/,Convenio internacional con University of Essex. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Hertfordshire,Reino Unido,http://www.herts.ac.uk/,Movilidad académica disponible en University of Hertfordshire para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of Portsmouth,Reino Unido,http://www.port.ac.uk/,Convenio académico entre la Universidad de Montevideo y University of Portsmouth (Reino Unido). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
University of St Andrews,Reino Unido,http://www.st-andrews.ac.uk/,University of St Andrews (Reino Unido) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Anglo-americká vysoká škola,República Checa,http://www.aauni.edu/,Movilidad académica disponible en Anglo-americká vysoká škola para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Univerzita Hradec Králové,República Checa,http://www.uhk.cz/,Acuerdo bilateral con Univerzita Hradec Králové – República Checa. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universitatea 'Alexandru Ioan Cuza',Rumania,http://www.uaic.ro/,Convenio académico entre la Universidad de Montevideo y Universitatea 'Alexandru Ioan Cuza' (Rumania). Facultades UM habilitadas: Derecho (FDER).,FDER
Universitatea Tehnica 'Gheorghe Asachi' din Iași,Rumania,http://www.tuiasi.ro/,Programa de intercambio con Universitatea Tehnica 'Gheorghe Asachi' din Iași. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Saint-Petersburg State University,Rusia,http://www.spbu.ru/,Saint-Petersburg State University (Rusia) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
FHNW Fachhochschule Nordwestschweiz,Suiza,http://www.fhnw.ch/,FHNW Fachhochschule Nordwestschweiz (Suiza) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universität St. Gallen,Suiza,http://www.unisg.ch/,Convenio internacional con Universität St. Gallen. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Zürcher Hochschule für Angewandte Wissenschaften,Suiza,http://www.zhaw.ch/,Acuerdo de intercambio entre la UM y Zürcher Hochschule für Angewandte Wissenschaften (Suiza). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
National Changhua University of Education,Taiwán,http://www.ncue.edu.tw/,Movilidad académica disponible en National Changhua University of Education para Humanidades y Educación (FHUMyE).,FHUMyE
Afyon Kocatepe Üniversitesi,Turquía,http://www.aku.edu.tr/,Convenio académico entre la Universidad de Montevideo y Afyon Kocatepe Üniversitesi (Turquía). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
HAKKARI UNIVERSITESI,Turquía,https://hakkari.edu.tr/,Convenio internacional con HAKKARI UNIVERSITESI. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Halic University,Turquía,http://www.halic.edu.tr/,Programa de intercambio con Halic University. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Kadir Has Universitesi,Turquía,http://www.khas.edu.tr/,Acuerdo de intercambio entre la UM y Kadir Has Universitesi (Turquía). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Koc University,Turquía,http://www.ku.edu.tr/,Convenio internacional con Koc University. Facultades UM: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
King Ceasor University,Uganda,https://kcu.ac.ug/,King Ceasor University (Uganda) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
