name,country,web_page,description,facultades_habilitadas
EDEM Escuela de Empresarios,España,https://edem.eu/,Intercambio disponible en EDEM Escuela de Empresarios para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Escola Superior de Comerç Internacional,España,https://www.esci.upf.edu/en,Acuerdo de intercambio entre la UM y Escola Superior de Comerç Internacional (España). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad 'Alfonso X El Sabio',España,http://www.uax.es/,Universidad 'Alfonso X El Sabio' (España) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Católica San Antonio de Murcia,España,http://www.ucam.edu/,Convenio académico entre la Universidad de Montevideo y Universidad Católica San Antonio de Murcia (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad CEU San Pablo,España,http://www.uspceu.com/,Intercambio con Universidad CEU San Pablo en España. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Alicante,España,http://www.ua.es/,Movilidad académica disponible en Universidad de Alicante para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Córdoba,España,http://www.uco.es/,Estudiantes de la UM pueden realizar intercambio en Universidad de Córdoba (España). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Malaga,España,http://www.uma.es/,Acuerdo bilateral con Universidad de Malaga – España. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Navarra,España,http://www.unav.es/,Convenio académico entre la Universidad de Montevideo y Universidad de Navarra (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Santiago de Compostela,España,http://www.usc.es/,Acuerdo de intercambio entre la UM y Universidad de Santiago de Compostela (España). Facultades admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Sevilla,España,http://www.us.es/,Estudiantes de la UM pueden realizar intercambio en Universidad de Sevilla (España). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad de Vigo,España,http://www.uvigo.es/,Convenio académico entre la Universidad de Montevideo y Universidad de Vigo (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad del País Vasco / Euskal Herriko Unibertsitatea,España,http://www.ehu.es/,Convenio académico entre la Universidad de Montevideo y Universidad del País Vasco / Euskal Herriko Unibertsitatea (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Francisco de Vitoria,España,http://www.ufv.es/,Intercambio con Universidad Francisco de Vitoria en España. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Miguel Hernandez de Elche,España,http://www.umh.es/,Intercambio disponible en Universidad Miguel Hernandez de Elche para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Politécnica de Madrid,España,http://www.upm.es/,Programa de intercambio con Universidad Politécnica de Madrid. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Rey Juan Carlos,España,http://www.urjc.es/,Convenio académico entre la Universidad de Montevideo y Universidad Rey Juan Carlos (España). Facultades UM habilitadas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
